Subject,Predicate,Object,sbjExtensionRarity,objExtensionRarity,subjectDegree,objectDegree
"Bill Clinton",governor,"David Pryor",8.833922261484099E-4,0.0017667844522968198,3.5018708745147096E-6,1.031665977954868E-4
"Bill Clinton",successor,"George W. Bush",5.679478623862329E-5,4.259608967896747E-5,3.5018708745147096E-6,0.01669953233011293
"Bill Clinton",successor,"Frank D. White",5.679478623862329E-5,2.8397393119311646E-5,3.5018708745147096E-6,4.934054677175455E-5
"Bill Clinton",lieutenant,"Winston Bryant",0.002117148906139732,0.002117148906139732,3.5018708745147096E-6,1.0092384566949795E-5
"Bill Clinton",spouse,"Hillary Rodham Clinton",4.0749796251018746E-5,8.149959250203749E-5,3.5018708745147096E-6,0.0025701939363832146
"David C. Fields",president,"Bill Clinton",2.972946189673967E-4,2.1418282803193454E-4,9.004810820180681E-6,0.024873649786938856
"Thomas Porteous",appointer,"Bill Clinton",6.640106241699867E-4,2.1418282803193454E-4,5.502939945665972E-6,0.0650730411686587
"William Kennard",president,"Bill Clinton",1.9819641264493112E-4,2.1418282803193454E-4,2.4012828853815152E-5,0.024873649786938856
"Glenn A. Fine",president,"Bill Clinton",2.972946189673967E-4,2.1418282803193454E-4,2.2011759782663887E-5,0.024873649786938856
"Mary Schapiro",president,"Bill Clinton",1.9819641264493112E-4,2.1418282803193454E-4,6.203314120568914E-5,0.024873649786938856
"Rahm Emanuel",president,"Bill Clinton",1.9819641264493112E-4,2.1418282803193454E-4,4.982661987166644E-4,0.024873649786938856
"Maryanne Trump Barry",appointer,"Bill Clinton",6.640106241699867E-4,2.1418282803193454E-4,2.0010690711512626E-5,0.0650730411686587
"Raymond C. Fisher",appointer,"Bill Clinton",6.640106241699867E-4,2.1418282803193454E-4,2.0010690711512626E-5,0.0650730411686587
"Terence T. Evans",appointer,"Bill Clinton",6.640106241699867E-4,2.1418282803193454E-4,1.1005879891331944E-5,0.0650730411686587
"Terry Peach",president,"Bill Clinton",9.909820632246556E-5,2.1418282803193454E-4,9.505078087968498E-6,0.024873649786938856
"R. Guy Cole, Jr.",appointer,"Bill Clinton",6.640106241699867E-4,2.1418282803193454E-4,3.001603606726894E-6,0.0650730411686587
"Sandy Berger",president,"Bill Clinton",9.909820632246556E-5,2.1418282803193454E-4,3.401817420957146E-5,0.024873649786938856
"Sean Patrick Maloney",president,"Bill Clinton",9.909820632246556E-5,2.1418282803193454E-4,4.8025657707630303E-5,0.024873649786938856
